vocab_word,baseline_prompt,vocab_with_definition_prompt,masked_vocab_word_prompt,low_context_example,high_context_example
awake,The baby finally woke up and started crying loudly.,"The alarm clock was ringing loudly, but Sarah remained awake, staring out the window at the dark sky.","After a long night of partying, Sarah was awake.",lay awake thinking about his new job,"not in a state of sleep; completely conscious, lay awake thinking about his new job"
sorry,The manager of the restaurant was sorry to have to inform the customer that their order was taking longer than expected.,The storm made the day at the beach very sorry.,The storm ruined my sorry' day at the beach.,a sorry state of affairs,"bad; unfortunate, a sorry state of affairs"
derogation,The new policy was a derogation of the company's long-standing commitment to environmental sustainability.,"The city council voted to allow a limited exemption from the noise ordinance for the outdoor music festival, citing the need for derogation to accommodate the unique circumstances of the event.","A new law would be enacted to derogation'd the existing tax on gasoline, thereby reducing the burden on consumers.",any derogation of the common law is to be strictly construed,"(law) the partial taking away of the effectiveness of a law; a partial repeal or abolition of a law, any derogation of the common law is to be strictly construed"
opencast,The mining operation uses an opencast method to extract the coal from the large pit.,The new opencast mining operation near the town has sparked heated debates about environmental impact and local job creation.,The old open-pit opencast's in the area were once some of the most productive in the state.,opencast mining,"(of mines and mining) worked from the exposed surface, opencast mining"
geartrain,"The motorcycle's geartrain was compromised, requiring a costly repair to get the bike running smoothly again.",A complex geartrain in the car's transmission ensured a smooth ride and quick acceleration.,The complex geartrain's intricate system of interlocking gears was crucial for the functioning of the clock tower's massive pendulum.,the fool got his tie caught in the geartrain,"wheelwork consisting of a connected set of rotating gears by which force is transmitted or motion or torque is changed, the fool got his tie caught in the geartrain"
apologetically,The teacher spoke apologetictly to the student about the low grade on the exam.,"She stood apologetatically in the doorway, fidgeting with her hands and avoiding eye contact, her voice barely above a whisper as she spoke.","""I walked into the room, apologeticallysly apologizing for being late, and was met with a mixture of understanding and annoyance.",he spoke apologetically about his past,"in an apologetic manner, he spoke apologetically about his past"
irremovability,The judge ruled that the defendant's irremovably entrenched position in the community made it impossible to seat an impartial jury.,The statue's irremovabilty from the public square was a source of contention among the city officials.,The sticky note had a irremovability'd adhesive that made it difficult to remove from the surface.,Bourgeois ideologists assert that the irremovability of judges ensures their independence in deciding court cases.,"the quality or state of not being removable., Bourgeois ideologists assert that the irremovability of judges ensures their independence in deciding court cases."
exalted,The politician's exalted status in the community was reflected in the numerous awards and accolades she received at the annual gala.,"She was an exalted figure in the community, known for her wisdom and selflessness, and people would often seek her counsel on matters of great importance.",The painting was a masterpiece of exalted.,an exalted ideal,"of high moral or intellectual value; elevated in nature or style, an exalted ideal"
probative,"The testimony of the prosecution's key witness was probative in establishing the defendant's guilt, but the defense team argued that it was tainted by coercion.","The evidence presented in court was probative of the defendant's guilt, but the prosecution's failure to prove motive made the case less convincing to the jury.",The detective found evidence that probative'd the suspect's alibi.,evidence should only be excluded if its probative value was outweighed by its prejudicial effect,"tending to prove a particular proposition or to persuade you of the truth of an allegation, evidence should only be excluded if its probative value was outweighed by its prejudicial effect"
hardly,"The new employee was barely qualified to do the job, but the boss hardly thought it was a problem.","The concert was almost sold out, and the band was set to take the stage in hardly any time at all.",The professor had just finished lecturing on the principles of quantum mechanics and was about to leave the classroom when the student asked him hardly.,we hardly knew them,"only a very short time before, we hardly knew them"
hardly,"The manager was hardly able to keep up with the demanding workload of her team, often working late into the night.","She had hardly eaten anything all week, but still managed to gain five pounds.",The sun was setting hardly.,he hardly ever goes fishing,"almost not, he hardly ever goes fishing"
precipitous,"The hikers had to navigate a precipitous trail that led to the summit of the mountain, where the view was breathtaking.",The hikers had to navigate a precipitous path to reach the summit of the mountain.,"The hikers had to navigate through a narrow path on a precipitous-sided cliff, which made them feel uneasy and hesitant to proceed.",the precipitous rapids of the upper river,"dangerously steep, the precipitous rapids of the upper river"
acrylamide,"When cooking at high temperatures, acrylamides can form in foods that have been fried or grilled, particularly those with a high sugar content.","A team of researchers has been studying the potential health risks associated with consuming foods cooked at high temperatures, and their findings suggest that a common byproduct of this process, acrylamides, may be linked to an increased risk of neurological damage and.",The acrylamide's toxic fumes can cause long-term brain damage in people who inhale them for extended periods.,they claimed that acrylamide is produced when certain carbohydrates are baked or fried at high temperatures,"a white crystalline amide of propenoic acid can damage the nervous system and is carcinogenic in laboratory animals, they claimed that acrylamide is produced when certain carbohydrates are baked or fried at high temperatures"
warped,The new skate park had a warped ramp that made it impossible to land a trick.,The porch creaked ominously as the old wooden boards warped and groaned underfoot.,The warped's warped surface made it difficult to fit the new roof tiles.,the floors were warped and cracked,"used especially of timbers or boards; bent out of shape usually by moisture, the floors were warped and cracked"
parturient,A woman who is parturient is going to give birth to twins.,"The expectant mother, parturient and exhausted, clutched her husband's hand as the contractions intensified.",The doctor helped the woman parturient.,a parturient heifer,"giving birth, a parturient heifer"
plaster,"The plaster on the wall was cracked and worn, and it had been a long time since it had last been touched up.","A skilled artisan carefully applied a layer of plaster to the ceiling, allowing it to dry before painting the surface.","In the plaster's intricate design, a skilled artist carefully painted a beautiful mural that would be the centerpiece of the grand hall.",there were cracks in the plaster,"a surface of hardened plaster (as on a wall or ceiling), there were cracks in the plaster"
plaster,The nurse carefully applied the plaster to the child's broken arm to stabilize it and promote healing.,"She carefully applied the plaster to her broken arm, hoping to prevent further injury.",The doctor decided to plaster'ed my broken arm.,plaster the broken arm,"apply a plaster cast to, plaster the broken arm"
liquid,The water in the bottle was liquid and refreshing.,"The morning sunlight filtered through the window, casting a liquid glow over the room.","The sun shone through the liquid-blue sky, making everything look vibrant and lively.",the liquid air of a spring morning,"clear and bright, the liquid air of a spring morning"
liquid,The water in the glass is a liquid.,"The company's financials were all liquid, allowing it to quickly respond to market fluctuations.",The cashier rang up the liquid.,eyes shining with a liquid luster,"in cash or easily convertible to cash, eyes shining with a liquid luster"
regurgitation,"The nurse helped the patient with the regurgitation, carefully suctioning out the contents that had returned to the back of the throat.","The student was so frustrated with the professor's teaching style, which involved regurgitation of memorized facts without any real understanding of the subject matter.","She tried to regurgitation' the entire script, but the director was disappointed with her lack of emotional depth.",he complained that school was just memorization and regurgitation,"recall after rote memorization, he complained that school was just memorization and regurgitation"
irrigate,The farmer irrigated the parched fields to ensure a healthy crop before the dry season.,The farmer carefully irrigated the parched fields to help the crops grow.,The fountain in the park was used to irrigate.,irrigate the wound,"supply with a constant flow or sprinkling of some liquid, for the purpose of cooling, cleansing, or disinfecting, irrigate the wound"
frothing,The barista was frantically trying to get the coffee machine to stop frothing the milk to the right consistency.,"After a long night of dancing, the singer's mouth was frothing as she stumbled off the stage.",The marathon runner was frothing-ing profusely as she crossed the finish line.,the rabid animal's frothing mouth,"producing or covered with lathery sweat or saliva from exhaustion or disease, the rabid animal's frothing mouth"
hereabouts,"The tourists were happy to be hereabouts the beautiful lake, where they had rented a cozy cabin for the weekend.","The local diner has been a staple hereabouts for decades, serving up classic American fare to the community.",The hikers were thrilled to stumble upon a hereabouts-side trail that led to a hidden waterfall.,the people are friendly hereabouts,"in this general vicinity, the people are friendly hereabouts"
cycle,"The bicycle was a great way to get exercise while traveling through the city, and it was a popular mode of transportation for students who wanted to avoid the crowded bus cycle.","The plant goes through a significant cycle of growth each year, where it blooms in the spring, is in full leaf during the summer, and then enters a dormant period in the winter.","The sun cycles through the sky, illuminating the landscape below.",This machine automatically cycles,"pass through a cycle, This machine automatically cycles"
cycle,A group of students went on a bike ride through the park and completed a cycle of the trail.,"The artist's new work was inspired by the cycle of life and death, which she had witnessed in her small town, where the old buildings stood as a testament to the passing of time.",The cycle's erratic rhythms made the dance troupe's performance a mesmerizing spectacle that kept the audience enthralled for hours on end.,cycle the laundry in this washing program,"cause to go through a recurring sequence, cycle the laundry in this washing program"
earn,The company will pay you a bonus for every project you earn.,She worked diligently at the marketing firm to earn a decent income.,The job of a salesperson is to earn.,She earns a lot in her new job,"earn on some commercial or business transaction; earn as salary or wages, She earns a lot in her new job"
constipate,"They had been eating a diet rich in processed foods for weeks, and it started to constipate their digestive systems.",The factory's production line was constipated by a faulty machine that was clogging up the workflow.,The pipe was constipate-ed by the accumulation of grease and debris.,My mind is constipated today,"impede with a clog or as if with a clog, My mind is constipated today"
uplifting,"The movie was truly uplifting, and I left the theater feeling inspired and renewed.",The city's new public art installation was a beautiful and uplifting addition to the downtown area.,The new policy was met with widespread skepticism as the uplifting's popularity continued to uplifting.,the uplifting of the clouds revealed the blue of a summer sky,"the rise of something, the uplifting of the clouds revealed the blue of a summer sky"
go,"""The children will go to the park after school.",The system was go after the maintenance team ran diagnostics and performed the necessary repairs.,The computer go'd up after the repair.,all systems are go,"functioning correctly and ready for action, all systems are go"
go,I'm going to the store.,"They were thrilled to see the new software ""go live"" after months of testing, knowing it would meet their needs and exceed their expectations.","The new employee was expected to go-ify the complex software, which had been go'ing for months, in order to meet the tight deadline.",The washing machine won't go unless it's plugged in,"perform as expected when applied, The washing machine won't go unless it's plugged in"
wireless,The phone was connected to the wireless network in the office.,A wireless speaker is great for outdoor picnics because it can be easily set up and moved around without getting tangled up in a mess of cords.,The new wireless-enabled device made it possible to power my laptop without a cord.,a wireless security system,"having no wires, a wireless security system"
unexampled,The city's unexampled growth over the past decade has led to unprecedented demands on its infrastructure.,"The unprecedented rise of the new company led to an unexampled surge in job openings, forcing local universities to quickly adapt their curriculum to meet the demand.",The new artist's style was so unexampledsophisticated that critics struggled to find comparisons with any other works of art.,a time of unexampled prosperity,"having no previous example or precedent or parallel, a time of unexampled prosperity"
warmhearted,She was a warmhearted nurse who always went the extra mile to make her patients feel at home.,She volunteered at the animal shelter because her warmhearted nature made her want to help the homeless animals.,The warmhearted's gentle words of encouragement helped lift the spirits of those who were struggling.,gave a warmhearted welcome to the stranger,"marked by warmth of feeling like kindness and sympathy and generosity, gave a warmhearted welcome to the stranger"
irresistible,"The aroma of freshly baked cookies wafted through the house, making the dessert irresistible to everyone in the family.",She felt an irresistible urge to try the decadent chocolate cake at the bakery.,She was so irresistible'ly beautiful that everyone in the room turned to stare at her.,irresistible beauty,"overpoweringly attractive, irresistible beauty"
dependent,The company's success is dependent on the performance of its top salesperson.,She's been living with her parents since she graduated from college and is still dependent on them for financial support.,The family's financial dependent's heavily on the income from her husband's job.,dependent children,"relying on or requiring a person or thing for support, supply, or what is needed, dependent children"
dependent,The young mother felt dependent on her family for financial support during her pregnancy.,"The professor explained to the student that the clause ""I went to the store"" was dependent on the main clause ""because I needed milk"" to make sense.","The dependent's condition was diagnosed by the doctor, but it was a dependent.",dependent on moisture,"(of a clause) unable to stand alone syntactically as a complete sentence, dependent on moisture"
friskily,"She danced friskily around the room, her skirt flying wildly behind her as she spun to the music.","The playful kitten friskily chased her tail, darting back and forth with an energetic and unpredictable motion.","The kitten was friskily-ing around the house, chasing its own tail and pouncing on invisible prey.",he moves about friskily despite his age,"in a playfully frisky manner, he moves about friskily despite his age"
effaceable,"The artist's latest work was so striking that it effaced all other paintings in the gallery, making them seem dull and insignificant by comparison.","The city council voted to effaceable the outdated zoning laws that had been in place for decades, making room for new developments and modernization.",The marker was designed to be effaceable.,the fire's worst scars were effaceable by a comprehensive program of reforestation,"capable of being effaced, the fire's worst scars were effaceable by a comprehensive program of reforestation"
corrected,The teacher corrected the student's math problems before class ended.,"The new policy was implemented to correct the mistake made by the previous administration, but the opposition claimed it was merely a ploy to corrected the voters' perception of them.","The smell of correcteds the stench of last night's trash, but the fresh air that swept through the city this morning has correctedd the odor.",with glasses her corrected vision was 20:20,"having something undesirable neutralized, with glasses her corrected vision was 20:20"
arrival,The tourists waited anxiously for the arrival of the cruise ship at the dock.,"As she stepped off the train, the crowd waiting on the platform cheered and applauded for her arrival, marking the end of a long and tiring journey.","After a long trip, the plane finally landed, and the passengers were relieved that they had made arrival.",they awaited her arrival,"the act of arriving at a certain place, they awaited her arrival"
hostility,"The two countries had a long history of hostility towards each other, dating back to a border dispute that had been unresolved for decades.","The tension between the two neighbors was palpable, a feeling of hostility that had been building for months due to their ongoing dispute over a property line.",The old man's <vocab > was palpable as he glared at the young couple holding hands.,he could no longer contain his hostility,"the feeling of a hostile person, he could no longer contain his hostility"
innate,The baby's innate ability to recognize her mother's voice was remarkable.,"She inherited her mother's innate ability to sing beautifully, which made her a standout performer in the school choir.","The artist's innates were undeniable, as evidenced by the breathtaking masterpieces he created in his youth, which were later studied and emulated by aspiring artists around the world.",an innate talent,"being talented through inherited qualities, an innate talent"
phobia,The fear of spiders is a common phobia that affects many people worldwide.,She had an intense phobia of spiders that caused her to freeze in terror whenever she saw one.,The phobia's anxiety was triggered by a simple elevator ride.,phobic disorder is a general term for all phobias,"an anxiety disorder characterized by extreme and irrational fear of simple things or social situations, phobic disorder is a general term for all phobias"
source,The river was the source of the village's water supply.,The journalist needed to verify the accuracy of the source of the information she had received from the politician's press secretary.,The source's report was due yesterday.,the reporter had two sources for the story,"a document (or organization) from which information is obtained, the reporter had two sources for the story"
source,The news team will travel to the source of the river to gather footage for their documentary.,The article in the book was cited as the source of the information.,The article in the source's index was cited by many scholars.,he spent hours looking for the source of that quotation,"a publication (or a passage from a publication) that is referred to, he spent hours looking for the source of that quotation"
aboriginal,"The term ""aborigine"" refers to the first human inhabitants of a place, the original people of a land.",The oldest aboriginal culture in the region has been preserved in the museum.,The early aboriginals of a region are often preserved in its folklore and traditions.,the aboriginal peoples of Australia,"characteristic of or relating to people inhabiting a region from the beginning, the aboriginal peoples of Australia"
elude,The suspect tried to elude the police by hiding in the abandoned warehouse on the outskirts of town.,The cryptic message on the wall eluded the detective's attempts to decipher its meaning.,"The professor's complex theory elude'd her, leaving her confused and frustrated.",What you are seeing in him eludes me,"be incomprehensible to; escape understanding by, What you are seeing in him eludes me"
impart,The teacher imparted her years of experience to her students through her lectures and mentorship.,"She carefully imparted the secrets of the recipe to her niece, who was eager to learn.",The teacher helped the students impart'ing the skills they needed for the test.,impart a new skill to the students,"transmit (knowledge or skills), impart a new skill to the students"
reprint,The magazine will reprint the article from last month's issue.,The library decided to reprint the book after it had been out of stock for several months.,"The artist decided to reprint' the old photograph, bringing out new details that had been hidden by time and wear.",They never reprinted the famous treatise,"print anew, They never reprinted the famous treatise"
assessable,"The company's financial records are assessable to auditors, but the CEO is hesitant to make them public.",The teacher asked the students to assessable their math homework for accuracy before submitting it.,The professor carefully considered the assessable's implications before making a decision.,the assessable qualities of art,"capable of being considered carefully, the assessable qualities of art"
sporulate,The bacteria will sporulate when they reach the end of their life cycle.,"The mushroom grew a thick, fuzzy cap and produced small, powdery spores that were carried away by the wind to start new colonies.","The fungi in the forest floor sporulate'd, releasing a cloud of spores into the air.",plants sporulate,"produce spores, plants sporulate"
pliant,The flexible fabric of the yoga mat was pliant beneath her fingers.,The flexible branch of the tree was pliant in the strong wind.,"The hula hoop, made of pliant-resistant material, was a popular toy in the 1960s.",a pliant young tree,"capable of being bent or flexed or twisted without breaking, a pliant young tree"
pliant,"The fabric was very pliant, making it easy to shape and mold into the desired form.",The politician's pliant supporters allowed her to change her stance on the issue without losing their trust.,The pliant's shape can be changed by adding a small amount of water to the mixture.,a pliant nature,"capable of being influenced or formed, a pliant nature"
unerringly,"The detective was unerringly able to pick out the suspect from a crowd of hundreds, his years of experience and keen observational skills making it an easy task.",The detective was unerringly able to track down the suspect through the crowded city streets.,The unerringly-ly accurate robot was designed to perform complex surgeries with precision.,he unerringly fixed things for us,"without making errors, he unerringly fixed things for us"
turbulent,The stormy weather was characterized by turbulent air that made it difficult to navigate the small plane.,The stormy weather caused the turbulent waters of the lake to crash violently against the shore.,The storm had churned the ocean into a turbulent.,turbulent rapids,"(of a liquid) agitated vigorously; in a state of turbulence, turbulent rapids"
insufficient,The company's financial resources are insufficient to cover the cost of the new project.,The company was forced to cut back on employee benefits due to insufficient funds.,The library was in insufficient.,insufficient funds,"of a quantity not able to fulfill a need or requirement, insufficient funds"
crescendo,The crowd's applause grew louder and more insistent as the opera singer's voice rose in a dramatic crescendo of sound.,The crowd's cheers rose in a series of increasing crescendos as the home team scored goal after goal in the thrilling game.,The sound of the engine crescendo'd as we pulled away from the stop sign.,The music crescendoes here,"grow louder, The music crescendoes here"
balk,"The pitcher threw a fastball down the middle of the plate, but the batter took a big swing and started to walk back towards the dugout, clearly not interested in taking another pitch, and the umpire shouted ""bALK!"" as the batter.","The billiards player carefully measured the distance from the cue ball to the spot where it would strike the object ball, taking into account the balk line that was drawn to prevent him from shooting from behind it.",The cue ball struck the object ball and sent it careening off into the balk.,a player with ball in hand must play from the balk,"the area on a billiard table behind the balkline, a player with ball in hand must play from the balk"
allegoric,"The poem is an allegoric representation of the human condition, using symbols to convey the struggles and triumphs of life.","The painting is an allegoric representation of the human condition, with a figure representing the struggle between good and evil.","The allegoric's depiction of the journey to enlightenment was a complex one, full of symbolism and layers of meaning that required careful interpretation to fully grasp.",allegorical stories,"used in or characteristic of or containing allegory, allegorical stories"
islam,"The fifth-century Persian poet Rumi wrote many of his famous works while living in Konya, Turkey, which was then a center of Sufi islam.",The followers of islam believe that Muhammad was the last prophet sent by Allah to guide humanity to the right path.,The city was the spiritual center of the islam.,"Islam is a complete way of life, not a Sunday religion","the monotheistic religious system of Muslims founded in Arabia in the 7th century and based on the teachings of Muhammad as laid down in the Koran, Islam is a complete way of life, not a Sunday religion"
foreign,The tourists had to learn to navigate the foreign language and customs of their host country.,The tourists were confused by the foreign food and language in the small town they visited.,The city's foreign's cuisine is a unique blend of Asian and European flavors.,foreign nations,"relating to or originating in or characteristic of another place or part of the world, foreign nations"
foreign,"A foreign film is playing at the local cinema, but it's getting a lot of buzz.",The international community is concerned with foreign policy decisions made by the government.,The foreign's influence on the world stage was a topic of discussion among the diplomats at the conference.,a foreign accent,"of concern to or concerning the affairs of other nations (other than your own), a foreign accent"
boring,The lecture was so boring that I fell asleep in the middle of it.,"After watching the same movie for the third time, the class fell asleep because it was just so boring.",The lecture was boring.,a boring evening with uninteresting people,"so lacking in interest as to cause mental weariness, a boring evening with uninteresting people"
lewd,The company was fined for the lewd behavior displayed by its employees at the company picnic.,The scandalous billboard displayed a lewd image that many people deemed as offensive.,"The lewd's reputation preceded him, and many people whispered about his lewds when he was a young man.",lewd pictures,"suggestive of or tending to moral looseness, lewd pictures"
neurotically,"The psychologist's patient was neurotically attached to her stuffed animal, which she took everywhere she went.","She was neurotically obsessed with the idea of being late, constantly checking her watch and worrying about the consequences of being even a minute behind schedule.","He began to neurotically-ly worry about the test results, obsessing over every tiny detail.","they are finely, not to say neurotically adjusted","in a neurotic manner, they are finely, not to say neurotically adjusted"
